"brank","name","rate","ratepeople","中文名","话数","上映年度","片长","别名","放送开始","放送星期","原作","导演","脚本","分镜","演出","音乐","人物设定","分镜构图","美术监督","色彩设计","作画监督","摄影监督","原画","主题歌编曲","主题歌作曲","主题歌演出","企画","制片人","制作","动画制作","官方网站","url"
"378","星界の紋章","7.9","397","星界的纹章","13话",,,"星界纹章 Seikai no Monshō 星界之纹章","1999年1月12日","星期二","森岡浩之（ハヤカワ文庫刊）","長岡康史","吉永亜矢","鍋島修、西本由紀夫、西澤晋、南康宏、長岡康史、篠原俊哉、山口美浩","山口美浩、元永慶太郎、長岡康史、鍋島修、篠原俊哉、西本由紀夫","服部克久","渡部圭祐",,"岡田有章","歌川律子","米山浩平、筱雅律、大塚健、中島里恵、向山祐治、高橋晃、しんぼたくろう、渡部圭祐","白井久男","佐久間信一、長岡康史、草刈大介、石川てつや、西澤晋、飯飼一幸",,,,"渡辺繁、植田益朗","海部正樹、岩田幹宏、杉田敦、積惟文","サンライズ、WOWOW、バンダイビジュアル","サンライズ","http://www.sunrise-inc.co.jp/seikai/01/window.html","https://bangumi.tv/subject/4301"
"379","BLACK LAGOON Roberta’s Blood Trail","7.8","1973","黑礁 Roberta’s Blood Trail","5",,,"黑礁 第三季 黑礁 罗贝尔特的复仇",,,"広江礼威（小学館刊『月刊サンデージェネックス』連載）","片渕須直","片渕須直","浦谷千恵、片渕須直、香月邦夫","香月邦夫、室井ふみえ、加藤やすひさ、浦谷千恵、片渕須直","EDISON","筱雅律",,"金子英俊","角本百合子","筱雅律、日向正樹、浦谷千恵、朝来昭子、木村雅広、今村大樹、加藤やすひさ","藤田賢治","朝来昭子、浦谷千恵、宮沢康紀","高瀬一矢","高瀬一矢","MELL",,"小倉充俊、岡本順哉",,"MADHOUSE","http://www.blacklagoon.jp/index.html","https://bangumi.tv/subject/6985"
"380","あずまんが大王 THE ANIMATION","7.8","1339","阿滋漫画大王","26",,,"笑园漫画大王 阿兹漫画大王","2002年4月8日","星期一","あずまきよひこ（メディアワークス刊『月刊電撃大王』）","錦織博","吉永亜矢、玉井☆豪、小黒祐一郎、大河内一楼、大久保智康","舛成孝二、高橋亨、橘秀樹、長尾粛、福多潤、大畑清隆、錦織博、水無月弥生、山川吉樹、渡辺歩、別所誠人、池端隆史、桜井弘明、佐々木和宏、高田耕一、本郷みつる、佐藤竜雄","錦織博、飯野直、舛成孝二、伊達巻子、池端隆史、戸張節五郎、高橋亨、長尾粛、水無月弥生、石堂宏之、高橋順、渡辺健一郎、高山功、大畑清隆、高田耕一","栗原正己","加藤やすひさ",,"柴田千佳子","店橋真弓","佐野英敏、宮地聡子、古田誠、植田実、鈴木仁史、小栗寛子、橋本英樹、井嶋けい子、石浜真史、桜井正明、村上やすひと、晶貴孝二、岸本誠司、松田寛、橘秀樹、加藤やすひさ、アベエミコ、和田崇","高瀬勝","山川吉樹、石浜真史、堀剛史、加藤はつえ、時永宜幸、実原登、大木良一、長谷川眞也、岸田隆宏、天衝、中村光宣",,,"伊藤真澄","佐藤辰男、真木太郎、大月俊倫","池田慎一、大澤信博、松倉友二",,"J.C.STAFF","http://azumakiyohiko.com/","https://bangumi.tv/subject/977"
"381","東方活動写真館","7.9","358","东方活动写真馆","6",,,,"2009年4月26日",,,,,,,,,,,,,,,,,,,,,,,"https://bangumi.tv/subject/49315"
"382","Futurama (Season 1)","8","130","飞出个未来 第1季","13",,,"乃出个未来 第1季","1999-03-28",,,,,,,,,,,,,,,,,,,,,,"http://www.comedycentral.com/shows/futurama/index.jhtml","https://bangumi.tv/subject/28065"
"383","はじめの一歩","8","147","第一神拳","76",,,,"2000年10月3日",,"森川ジョージ","西村聡","ふでやすかずゆき、加茂靖子、杉原研二、荒西大介、西川真剛、浦畑達彦、中村亮介","林秀夫、中村賢太郎、小島正幸、サトウシンジ、新留俊哉、松村やすひろ、松尾衡、佐藤雄三、川瀬敏文、辻伸一、善聡一郎、鈴木吉男、荻原露光、阿部記之、さかいあきお、西村聡、小林治、ひいろゆきな、島崎奈々子","島崎奈々子、辻伸一、荻原露光、鈴木吉男、中村亮介、ひいろゆきな、山口祐司、真野玲、サトウシンジ、岩本保雄、秦義人、佐藤雄三、松村やすひろ、中村賢太郎、小島正幸、林秀夫、武井良幸","今堀恒雄","杉浦幸次",,"金子英俊","磯崎昭彦、こしかわよしみ","サトウシンジ、李豪善、安田好孝、山縣亜紀、松田芳明、伊藤嘉之、河合静男","白井久男","野田卓雄、堀剛史、柿田英樹、宍戸聡、新川信正、林秀夫、杉浦幸次、門脇聡",,"今堀恒雄",,"伊藤和明","丸山正雄","VAP","MADHOUSE",,"https://bangumi.tv/subject/10419"
"384","マリア様がみてる 〜春〜","7.8","573","圣母在上 春","13",,,"圣母玛莉亚注视著～春～ 玛莉亚的凝望～春～","2004年7月7日",,"今野緒雪","ユキヒロマツシタ(福島宏之)","吉田玲子、吉村元希、真部千晶、高橋ナツコ","古橋一浩、平向智子、小島正士、福田道生、福島宏之、斉藤哲人","古橋一浩、則座誠、福島宏之、山名隆史、平向智子、筑紫大介、吉田俊司","片倉三起也","松島晃",,"坂本信人","松本真司","松島晃、服部憲知、森本浩文、秋山由樹子、曽我部孝、相澤昌弘","川口正幸","松竹徳幸、西村博之、松島晃、中嶋敦子、斉藤哲人",,,,,"東不可止","テレビ东京・読売広告社・ディーライツ","Studio DEEN、スタジオディーン","http://www.gokigenyou.com/2nd/","https://bangumi.tv/subject/4215"
"385","ガングレイヴ","7.8","696","铳墓","26",,,"枪墓 枪冢 GUNGRAVE","2003年10月6日","星期一","内藤泰弘、レッド・エンタテインメント","都留稔幸","黒田洋介","松尾衡、宮下新平、原博、そ～とめこういちろう、筱雅律、サトウシンジ、西村聡、佐藤雄三、増原光幸、高岡淳一、荒木哲郎、都留稔幸、金紀杜、太田雅彦","土屋浩幸、宮田亮、増原光幸、太田雅彦、都留稔幸、松尾衡、吉本毅、荒木哲郎、木村寛","今堀恒雄","筱雅律",,"清水友幸、上野秀行","こしかわよしみ","日向正樹、北尾勝、小林理、菊池聡延、菅野利之、北野幸広、青木真理子、春日井浩之、筱雅律、金紀杜、飯飼一幸、高岡淳一、山田勝哉、ふくだのりゆき、山本正文、山内英子","白井久男","若月愛子、森山洋",,"今堀恒雄","今堀恒雄","丸山正雄、名越康晃、佐々木史朗、小林洋輔","北山茂、久保亨、後藤秀樹、諸澤昌男",,"MADHOUSE","http://www.jvcmusic.co.jp/flyingdog/tv/gungrave/","https://bangumi.tv/subject/1805"
"386","さよなら絶望先生","7.8","3362","再见绝望先生","12",,,,"2007年7月7日",,"久米田康治","新房昭之","金巻兼一、高山カツヒコ、久保田雅史","森義博、福田道生、湖川友謙、山村洋貴、尾石達也、龍輪直征、清水慶太、宮崎修治、田中穣、鎌田祐輔","吉田秀之、飯村正之、板村智幸、宮本幸裕、森義博、鎌田祐輔","長谷川智樹","守岡英行",,"加藤浩","滝沢いづみ","湖川友謙、実原登、西田美弥子、大田和寛、潮月一也","江上怜","実原登、今村亮、砂田茂樹、佐野恵一、竹井正樹、守岡英行、阿部厳一朗",,,,,"森山敦、久保田光俊",,"SHAFT",,"https://bangumi.tv/subject/299"
"387","げんしけん","7.8","2108","现视研","12",,,"THE SOCIETY FOR THE STUDY OF MODERN VISUAL CULTURE","2004年10月10日","星期日","木尾士目","池端隆史","中瀬理香、吉田玲子、小林靖子、平見瞠、横手美智子、池田眞美子、花村こけし、高橋ナツコ","佐藤卓哉、池端隆史、植田秀仁、原明、水島努、平向智子、古橋一浩、古川順康、殿勝秀樹","さんぺい聖、山田一夫、殿勝秀樹、平向智子、原明、三原武憲、福本潔、水島努","宅見将典","木下裕孝",,"奥井伸","西香代子","原健、池下博紀、松下清志、敷島隆、青井清年、谷口淳一郎、木下裕孝、輿石暁、木下ゆうき","土田栄司","井川麗奈",,,,,,"GENCO","パルム","http://www.genshiken.info/","https://bangumi.tv/subject/928"
"388","へうげもの","7.8","418","战国鬼才传","39",,,"Hyouge Mono","2011年4月7日","4","山田芳裕","真下耕一","川崎ヒロユキ","守岡博、黒川智之、澤井幸次、山本秀世、川面真也、石山タカ明、前田真宏、真下耕一","黒川智之、川面真也、平田豊、真下耕一、高田昌宏、澤井幸次、守岡博","大谷幸","津幡佳明、山下喜光",,"海野よしみ","小島真喜子","山下喜光、佐々木睦美、遠藤大輔、天﨑まなむ、肥塚正史、才木康寛、竹上貴雄、ふくだのりゆき","堀内美咲","遠藤大輔、なかじまちゅうじ、小坂倫洋",,,,,,"総合VISION","BeeTrain","http://www9.nhk.or.jp/anime/heuge/","https://bangumi.tv/subject/10436"
"389","異種族レビュアーズ","7.8","3286","异种族风俗娘评鉴指南","12",,,"异种族评鉴人 Interspecies Reviewers","2020年1月11日","星期六","天原・作画：masha（「異種族レビュアーズ」／KADOKAWA刊）","小川優樹","岡田邦彦、ふでやすかずゆき、植竹須美男","嵯峨敏、猫飼密、森本育郎、通2、小川優樹、西川貴史、松根マサト、加藤洋人、高橋建","森友宏樹、加藤峻一、間島崇寛、北村充基、なかの陽、藤崎有、加藤洋人、龍輪直征、嵯峨敏","内東琴音","うのまこと",,"関野剛嗣","歌川律子","小夏華、Nyki Ikyn、植竹康彦、佐藤敏明、阿部可奈子、王悦春、小川玖理周、中尾高之、黒田和也、Tin、野道佳代、海堂ヒロユキ、松下清志、鶴田愛、岩田幸子、吉田潤、日向晴香、胡陽樹、出雲誉明、Prasearth Thongkhum、石原恵治、加藤洋人、橋本英樹、佐々木洋也、小林史緒里、川島勝、森川侑紀、石山寛","世良隆光","加藤洋人、濱川修二郎",,,"スタンク(CV:間島淳司)&ゼル(CV:小林裕介)&クリムヴェール(CV:富田美憂)",,,,"パッショーネ","https://isyuzoku.com/","https://bangumi.tv/subject/285482"
"390","宝石の国","7.8","4954","宝石之国","12",,,"Land of the Lustrous","2017年10月7日","星期六","市川春子（講談社「アフタヌーン」連載）","京極尚彦","井上美緒、ふでやすかずゆき、大野敏哉","武藤健司、京極尚彦、タムラコータロー","松見真一、久野遥子、武藤健司、京極尚彦","藤澤慶昌","西田亜沙子",,,"三笠修",,"藤田賢治","松本憲生、小澤和則","照井順政、志娥慶香、鈴木慶一","照井順政、志娥慶香、鈴木慶一","大原ゆい子、黒沢ともよ、YURiKA",,"藤野麻耶",,"オレンジ","http://land-of-the-lustrous.com/","https://bangumi.tv/subject/214799"
"391","シドニアの騎士","7.8","3198","希德尼娅的骑士","12",,,"銀河騎士傳 希德尼亚的骑士 希德尼雅的骑士 Knights of Sidonia","2014年4月10日","星期四","弐瓶勉","静野孔文","村井さだゆき、山田哲弥、村越繁","城所聖明、森田宏幸、亀井隆、大串映二、末田宜史、安藤裕章、阿部記之、増井壮一","安藤裕章","朝倉紀行","森山佑樹",,"西野隆世","野地弘納",,,,"河合英嗣","atsuko、河合英嗣","喜多村英梨、angela",,,,"ポリゴン・ピクチュアズ","http://www.knightsofsidonia.com/","https://bangumi.tv/subject/77476"
"392","機動戦士ガンダムUC","7.8","2318","机动战士高达UC","7",,,"机动战士高达独角兽 高达独角兽 MOBILE SUIT GUNDAM UNICORN きどうせんしガンダムユニコーン",,,"矢立肇、富野由悠季、福井晴敏","古橋一浩","むとうやすゆき","松尾衡、古橋一浩、村瀬修功、玄馬宣彦、村田和也","古橋一浩、初見浩一、京極尚彦、菱田正和、村田和也、綿田慎也、遠藤広隆、佐藤照雄","澤野弘之","高橋久美子",,"池田繁美","すずきたかこ","大塚健、高瀬健一、宮本崇、石田可奈、濱田邦彦、玄馬宣彦、堀内博之、伊東伸高、丹澤学、仲盛文、高橋久美子、千羽由利子","葛山刚士、田中唯、葛山剛士、老平英","橋本誠一、村瀬修功、森賢、小林冬至生、児山昌弘、高山朋浩、茂木信二郎、西澤晋、千羽由利子、寺尾洋之、寺岡巌、伊藤秀次、木村貴宏、寺田嘉一郎、斉藤哲人、高谷浩利、羽山淳一、中田栄治、戸部敦夫、桝田浩史、大塚健、光田史亮、堀内博之、原田大基、富岡隆司、吉田健一、孙猛、中澤勇一、仲盛文、玄馬宣彦、川原智弘","齋藤真也","齋藤真也","CHEMISTRY、Kylee、BOOM BOOM SATELLITES、栗山千明",,,,"サンライズ","http://www.gundam-unicorn.net/ova/index.html","https://bangumi.tv/subject/3113"
"393","Kanon","7.8","4190",,"24",,,"Kanon（京都版） Kanon（第二部 BS-i版） 雪之少女 雪色奇迹 雪季之恋 华音","2006年10月5日","星期四","Key/Visual Art's","石原立也","志茂文彦","山本寛、武本康弘、石立太一、木上益治、石原立也、吉岡忍、坂本一也、北之原孝將","山本寛、石立太一、高雄統子、武本康弘、北之原孝將、坂本一也、吉岡忍","折戸伸治、OdiakeS、麻枝准","池田和美",,"篠原睦雄","竹田明代","西屋太志、米田光良、高橋博行、池田和美、植野千世子、池田晶子、門脇聡、堀口悠紀子","中上竜太","高雄統子、池田晶子、木上益治、松尾祐輔、山田尚子、小松麻美、門脇聡、米田光良、紫藤晃由、瀬崎利恵、内藤直、中野江美子","高瀬一矢","麻枝准","彩菜",,,"百花屋（TBS、ポニーキャニオン、ムービック、京都アニメーション）","京都アニメーション",,"https://bangumi.tv/subject/274"
"394","たまゆら～卒業写真～","7.8","411","玉响～毕业写真～","4",,,"玉响～毕业照片～",,,"佐藤順一","佐藤順一","山田由香、ハラダサヤカ","佐藤順一、名取孝浩","橋口洋介、名取孝浩、筑紫大介",,"飯塚晴子",,,,"内原茂、手島典子、原勝徳、飯塚晴子、丸山修二、大森理恵、中原清隆、半田大貴",,"香川久、熊谷哲矢",,,,,,,"TYO Animations（ゆめ太カンパニー）","http://tamayura.info","https://bangumi.tv/subject/109869"
"395","めぞん一刻","7.9","233","相聚一刻","96",,,,"1986年3月26日","星期三","高橋留美子","やまざきかずお（第1話 - 第26話）→安濃高志（第27話 - 第52話）→吉永尚之（第53話 - 第96話）","柳川茂、土屋斗紀雄、小西川博、高屋敷英夫、金春智子、伊藤和典、金子裕、武上純希、島田満","小島多美子、向後知一、鹿島典夫、片山一良、湯山邦彦、山内重保、茂木智里、澤井幸次、近藤英輔、山本智史、吉永尚之、片渕須直、棚橋一徳、大賀俊二、望月智充、鈴木行、安濃高志、やまざきかずお、古川順康","山本智史、やまざきかずお、山口頼房、吉永尚之、関田修、茂木智里、向後知一、近藤英輔、鈴木行、片渕須直、片山一良、澤井幸次","杉山卓夫（第1話 - 第26話、第38話 - 第96話）、川井憲次（第27話 - 第96話）","もりやまゆうじ（第1話 - 第26話）→高田明美（第27話 - 第96話）、森山雄治",,"朝倉千登勢",,"高橋ナオヒト、清水恵蔵、河南正昭、土器手司、高岡希一、中嶋敦子、服部圭子、鈴木俊二、小川博司","小澤次雄","河口俊夫、大塚伸治、伊藤岳史、二木真希子、松尾慎、高木弘樹、江面久、遠藤正明、古橋一浩、阿部卓司、鶴巻和哉、中嶋敦子、高岡希一、近藤勝也、箕輪豊、山下将仁、原田浩",,,,"岡正（第1話 - 第76話）、落合茂一","松下洋子、久保真、加藤裕子（第1話 - 第76話）→中尾嘉伸・河野雄一（第77話 - 第96話）","キティ・フィルム、フジテレビ","スタジオディーン",,"https://bangumi.tv/subject/2921"
